scorer,,,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski
individuals,,,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3
bodyparts,,,righthandbottom,righthandbottom,righthandtop,righthandtop,lefthandbottom,lefthandbottom,lefthanbdtop,lefthanbdtop,rightlegbottom,rightlegbottom,rightlegtop,rightlegtop,leftlegbottom,leftlegbottom,leftlegtop,leftlegtop,head,head,body1,body1,body2,body2,righthandbottom,righthandbottom,righthandtop,righthandtop,lefthandbottom,lefthandbottom,lefthanbdtop,lefthanbdtop,rightlegbottom,rightlegbottom,rightlegtop,rightlegtop,leftlegbottom,leftlegbottom,leftlegtop,leftlegtop,head,head,body1,body1,body2,body2,righthandbottom,righthandbottom,righthandtop,righthandtop,lefthandbottom,lefthandbottom,lefthanbdtop,lefthanbdtop,rightlegbottom,rightlegbottom,rightlegtop,rightlegtop,leftlegbottom,leftlegbottom,leftlegtop,leftlegtop,head,head,body1,body1,body2,body2
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,Horse Walk-5J1lxVgXsOY-480p-1651401758058,img0247.png,453.26965549420646,378.2292946574384,392.61175052492416,269.97826425071935,345.95182362547627,390.3608756512948,362.7493973092775,281.17664670658684,220.903219534956,395.9600668792285,195.70685900925412,257.8466832568629,153.71292479975108,383.82848588537206,,,531.6583326852788,262.5126759468077,418.7413095886149,200.92157243953648,207.83844000311058,185.99039583171322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,Horse Walk-5J1lxVgXsOY-480p-1651401758058,img0310.png,386.0793607590014,401.5592581071623,349.68461777743204,268.1118671747414,314.2230733338517,395.9600668792285,334.7534411696087,290.5086320864764,174.2432926355081,405.2920522591181,166.77770433159645,261.5794774088187,209.70483707908852,382.89528734738315,205.9720429271327,266.2454700987635,484.0652072478419,285.8426393965316,375.8141768411229,214.91955050937088,178.9092853254529,205.58756512948128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,Horse Walk-5J1lxVgXsOY-480p-1651401758058,img0406.png,342.2190294735204,343.7009487518469,348.7514192394431,198.12197682556962,,,404.7433315187805,241.9823081110506,190.1076677813204,339.96815459989114,203.17244731316578,197.18877828758065,229.30200637685658,336.23536044793525,229.30200637685658,223.3183373512715,456.0692511081732,308.23940430826656,382.34656660704553,162.66043238198927,211.5712341550664,140.2636674702543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,Horse Walk-5J1lxVgXsOY-480p-1651401758058,img0437.png,409.4093242087253,432.3548098607979,415.00851543665914,307.30620577027764,510.19476631153276,431.42161132280893,472.86682479197447,327.8365736060347,296.4923011120615,439.82039816470956,267.5631464344038,264.3790730227856,296.4923011120615,423.0228244809083,298.35869818803945,300.7738160043549,519.5267516914223,391.2940741892837,455.1360525701843,254.11388910490706,277.8283303522824,221.45194027529357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,Horse Walk-5J1lxVgXsOY-480p-1651401758058,img0479.png,385.1461622210125,353.0329341317365,387.94575783497936,221.45194027529357,,,446.7372657282836,246.6483008009954,270.36274204837076,358.6321253596702,239.5671902947351,200.92157243953648,269.4295435103818,339.03495606190216,272.2291391243486,221.45194027529357,483.132008709853,321.30418384011193,411.27572128470325,167.32642507193407,250.7655727506026,139.33046893226532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,Horse Walk-5J1lxVgXsOY-480p-1651401758058,img0504.png,380.4801695310677,334.36896337195736,389.8121549109572,201.85477097752545,484.9984057858309,333.4357648339684,437.4052803483941,229.8507271171942,261.9639552064701,341.834551675869,237.7007932187572,179.45800606579047,,,262.89715374445905,208.38716074344813,527.9255385333229,263.4458744847966,421.54090520258177,154.26164554008864,261.03075666848116,124.399292324442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
